id_ruta,Destino,Llegada
Ica-Piu,Ica,Piura
Cus-Lam,Cusco,Lambayeque
Tum-Tac,Tumbes,Tacna
Caj-Ama,Cajamarca,Amazonas
Apu-San,Apurimac,San Martin
San-Tac,San Martin,Tacna
Hua-Ica,Huancavelica,Ica
Lam-Lim,Lambayeque,Lima
Jun-Hua,Junin,Huanuco
Pun-San,Puno,San Martin
Caj-Hua,Cajamarca,Huancavelica
San-Uca,San Martin,Ucayali
Lor-Anc,Loreto,Ancash
Apu-Caj,Apurimac,Cajamarca
Pas-La ,Pasco,La Libertad
