id_ruta,Destino,Llegada
Moq-Jun,Moquegua,Junin
Uca-Ica,Ucayali,Ica
Piu-Hua,Piura,Huanuco
Moq-Cus,Moquegua,Cusco
Lor-Jun,Loreto,Junin
Uca-La ,Ucayali,La Libertad
Aya-San,Ayacucho,San Martin
Caj-Are,Cajamarca,Arequipa
Lim-Tum,Lima,Tumbes
Anc-Pun,Ancash,Puno
San-Mad,San Martin,Madre De Dios
Cus-Pun,Cusco,Puno
Cal-Aya,Callao,Ayacucho
Hua-Cus,Huancavelica,Cusco
Mad-Tum,Madre De Dios,Tumbes
Pun-Uca,Puno,Ucayali
Jun-La ,Junin,La Libertad
Lim-Uca,Lima,Ucayali
Pun-Piu,Puno,Piura
Ama-Lim,Amazonas,Lima
Uca-Tum,Ucayali,Tumbes
Uca-Tac,Ucayali,Tacna
Moq-Are,Moquegua,Arequipa
Anc-Are,Ancash,Arequipa
Aya-Caj,Ayacucho,Cajamarca
Mad-Are,Madre De Dios,Arequipa
Cus-Tac,Cusco,Tacna
Uca-Piu,Ucayali,Piura
Anc-Ama,Ancash,Amazonas
Pas-Piu,Pasco,Piura
Anc-Ica,Ancash,Ica
Uca-Aya,Ucayali,Ayacucho
Uca-Lim,Ucayali,Lima
Cal-Anc,Callao,Ancash
Ica-Are,Ica,Arequipa
Uca-Mad,Ucayali,Madre De Dios
San-Caj,San Martin,Cajamarca
Moq-Aya,Moquegua,Ayacucho
Tac-Piu,Tacna,Piura
Jun-Mad,Junin,Madre De Dios
La -Pas,La Libertad,Pasco
Moq-Uca,Moquegua,Ucayali
Pun-San,Puno,San Martin
Uca-Lor,Ucayali,Loreto
Piu-Pas,Piura,Pasco
La -Lam,La Libertad,Lambayeque
Lim-Ama,Lima,Amazonas
Are-Pun,Arequipa,Puno
Tum-Ama,Tumbes,Amazonas
Hua-Piu,Huancavelica,Piura
La -Pun,La Libertad,Puno
Anc-Cus,Ancash,Cusco
Lam-Tum,Lambayeque,Tumbes
Caj-Lim,Cajamarca,Lima
Mad-Caj,Madre De Dios,Cajamarca
Caj-Cal,Cajamarca,Callao
Moq-Lam,Moquegua,Lambayeque
Lim-Lor,Lima,Loreto
Ica-Ama,Ica,Amazonas
Lim-Ica,Lima,Ica
Caj-Jun,Cajamarca,Junin
Tac-Caj,Tacna,Cajamarca
Apu-Piu,Apurimac,Piura
Lam-Pas,Lambayeque,Pasco
Apu-Caj,Apurimac,Cajamarca
Pun-Cal,Puno,Callao
Aya-Anc,Ayacucho,Ancash
Tac-Mad,Tacna,Madre De Dios
Cus-Cal,Cusco,Callao
Anc-Uca,Ancash,Ucayali
Are-San,Arequipa,San Martin
Tum-Lim,Tumbes,Lima
Aya-Lam,Ayacucho,Lambayeque
Mad-Cus,Madre De Dios,Cusco
Uca-Moq,Ucayali,Moquegua
Ama-San,Amazonas,San Martin
Lor-Ica,Loreto,Ica
Pas-Lor,Pasco,Loreto
Piu-Mad,Piura,Madre De Dios
Aya-Are,Ayacucho,Arequipa
La -Mad,La Libertad,Madre De Dios
Are-Tum,Arequipa,Tumbes
Anc-Pas,Ancash,Pasco
Tac-Anc,Tacna,Ancash
Moq-Tac,Moquegua,Tacna
Lim-Cus,Lima,Cusco
Tac-Ica,Tacna,Ica
Lim-Lam,Lima,Lambayeque
Tac-Aya,Tacna,Ayacucho
Mad-Tac,Madre De Dios,Tacna
Cal-Pas,Callao,Pasco
Are-Ama,Arequipa,Amazonas
Cus-Ica,Cusco,Ica
Moq-Ica,Moquegua,Ica
Cus-Moq,Cusco,Moquegua
Apu-Tum,Apurimac,Tumbes
Caj-Tac,Cajamarca,Tacna
Moq-Piu,Moquegua,Piura
San-Lam,San Martin,Lambayeque
Lam-Piu,Lambayeque,Piura
Tum-Uca,Tumbes,Ucayali
Tum-Anc,Tumbes,Ancash
Anc-Lim,Ancash,Lima
Anc-San,Ancash,San Martin
Tum-Aya,Tumbes,Ayacucho
La -Apu,La Libertad,Apurimac
Hua-Ica,Huancavelica,Ica
Ica-Cus,Ica,Cusco
Ica-La ,Ica,La Libertad
Cal-Ama,Callao,Amazonas
San-La ,San Martin,La Libertad
Moq-La ,Moquegua,La Libertad
Ama-Ica,Amazonas,Ica
Are-Ica,Arequipa,Ica
Pas-La ,Pasco,La Libertad
Anc-La ,Ancash,La Libertad
Tac-Pun,Tacna,Puno
Are-Cal,Arequipa,Callao
Mad-Hua,Madre De Dios,Huanuco
Lor-Are,Loreto,Arequipa
Lor-Pas,Loreto,Pasco
La -Aya,La Libertad,Ayacucho
Pas-Aya,Pasco,Ayacucho
Tum-Apu,Tumbes,Apurimac
Tac-Lam,Tacna,Lambayeque
San-Cus,San Martin,Cusco
Moq-Cal,Moquegua,Callao
San-Moq,San Martin,Moquegua
Lor-Lim,Loreto,Lima
Uca-Ama,Ucayali,Amazonas
Caj-Cus,Cajamarca,Cusco
Lor-Tum,Loreto,Tumbes
Caj-Pun,Cajamarca,Puno
Jun-Ica,Junin,Ica
Cal-Pun,Callao,Puno
Pas-Tac,Pasco,Tacna
Uca-Cal,Ucayali,Callao
Ama-Lam,Amazonas,Lambayeque
Jun-San,Junin,San Martin
Lam-Ama,Lambayeque,Amazonas
Anc-Lam,Ancash,Lambayeque
Apu-Pas,Apurimac,Pasco
Pun-Anc,Puno,Ancash
Tum-Caj,Tumbes,Cajamarca
Cus-Pas,Cusco,Pasco
Are-Lim,Arequipa,Lima
Apu-Ica,Apurimac,Ica
Jun-Tac,Junin,Tacna
Cus-San,Cusco,San Martin
Caj-Moq,Cajamarca,Moquegua
Anc-Caj,Ancash,Cajamarca
La -Cus,La Libertad,Cusco
Apu-Moq,Apurimac,Moquegua
Piu-Caj,Piura,Cajamarca
Lor-San,Loreto,San Martin
Lim-Are,Lima,Arequipa
Tac-Cus,Tacna,Cusco
Aya-Apu,Ayacucho,Apurimac
Lam-Mad,Lambayeque,Madre De Dios
Pun-Moq,Puno,Moquegua
Tum-Pas,Tumbes,Pasco
Cal-La ,Callao,La Libertad
Ama-Tum,Amazonas,Tumbes
Lim-Aya,Lima,Ayacucho
Ica-Hua,Ica,Huanuco
Ama-Mad,Amazonas,Madre De Dios
Tac-Lim,Tacna,Lima
Lim-Pun,Lima,Puno
San-Tum,San Martin,Tumbes
Caj-Mad,Cajamarca,Madre De Dios
Cus-Piu,Cusco,Piura
Ama-Jun,Amazonas,Junin
Lam-Tac,Lambayeque,Tacna
La -Lim,La Libertad,Lima
Pas-San,Pasco,San Martin
Mad-Ama,Madre De Dios,Amazonas
Ama-Tac,Amazonas,Tacna
Mad-Cal,Madre De Dios,Callao
La -Uca,La Libertad,Ucayali
Mad-Anc,Madre De Dios,Ancash
Mad-Ica,Madre De Dios,Ica
Cus-Caj,Cusco,Cajamarca
Moq-Mad,Moquegua,Madre De Dios
Pas-Cal,Pasco,Callao
Pun-Aya,Puno,Ayacucho
Hua-Lam,Huanuco,Lambayeque
Are-Pas,Arequipa,Pasco
Pas-Are,Pasco,Arequipa
Ica-Caj,Ica,Cajamarca
Apu-Pun,Apurimac,Puno
Pun-Lam,Puno,Lambayeque
Apu-La ,Apurimac,La Libertad
Are-Caj,Arequipa,Cajamarca
Cus-Ama,Cusco,Amazonas
Pun-Are,Puno,Arequipa
La -San,La Libertad,San Martin
Lim-Anc,Lima,Ancash
Mad-La ,Madre De Dios,La Libertad
Tum-Pun,Tumbes,Puno
Lor-Lam,Loreto,Lambayeque
Jun-Uca,Junin,Ucayali
Tum-Moq,Tumbes,Moquegua
Lim-Caj,Lima,Cajamarca
Moq-Apu,Moquegua,Apurimac
Are-Aya,Arequipa,Ayacucho
Apu-Cal,Apurimac,Callao
La -Moq,La Libertad,Moquegua
Lor-La ,Loreto,La Libertad
Uca-Pas,Ucayali,Pasco
Piu-La ,Piura,La Libertad
Hua-Pun,Huanuco,Puno
Anc-Aya,Ancash,Ayacucho
Cal-Lor,Callao,Loreto
Mad-Lor,Madre De Dios,Loreto
Cus-Apu,Cusco,Apurimac
Ama-Cus,Amazonas,Cusco
Lim-Piu,Lima,Piura
Mad-Moq,Madre De Dios,Moquegua
Cus-Anc,Cusco,Ancash
Cal-Caj,Callao,Cajamarca
Caj-Ama,Cajamarca,Amazonas
Ica-San,Ica,San Martin
Lam-Lor,Lambayeque,Loreto
Ica-Lim,Ica,Lima
Apu-Cus,Apurimac,Cusco
Lam-Anc,Lambayeque,Ancash
Jun-Tum,Junin,Tumbes
Moq-Caj,Moquegua,Cajamarca
La -Cal,La Libertad,Callao
Uca-Anc,Ucayali,Ancash
Ama-Moq,Amazonas,Moquegua
Uca-Pun,Ucayali,Puno
Pas-Cus,Pasco,Cusco
Ama-Uca,Amazonas,Ucayali
Tum-Lam,Tumbes,Lambayeque
Tac-Moq,Tacna,Moquegua
Ica-Tac,Ica,Tacna
Pas-Apu,Pasco,Apurimac
Cus-Lam,Cusco,Lambayeque
Ica-Anc,Ica,Ancash
Mad-Piu,Madre De Dios,Piura
Aya-Pas,Ayacucho,Pasco
Pun-Mad,Puno,Madre De Dios
La -Jun,La Libertad,Junin
Apu-Jun,Apurimac,Junin
Apu-Anc,Apurimac,Ancash
Lam-Apu,Lambayeque,Apurimac
Tac-La ,Tacna,La Libertad
Jun-Moq,Junin,Moquegua
Cal-Lim,Callao,Lima
Mad-Lim,Madre De Dios,Lima
Caj-Pas,Cajamarca,Pasco
Pun-Jun,Puno,Junin
Ama-Anc,Amazonas,Ancash
Pun-Lim,Puno,Lima
Aya-Moq,Ayacucho,Moquegua
Lor-Apu,Loreto,Apurimac
Pun-Tac,Puno,Tacna
Apu-Mad,Apurimac,Madre De Dios
Are-Anc,Arequipa,Ancash
Ica-Uca,Ica,Ucayali
Piu-Aya,Piura,Ayacucho
Ama-La ,Amazonas,La Libertad
Piu-Moq,Piura,Moquegua
La -Anc,La Libertad,Ancash
San-Piu,San Martin,Piura
Moq-San,Moquegua,San Martin
Moq-Tum,Moquegua,Tumbes
Jun-Cal,Junin,Callao
San-Cal,San Martin,Callao
Lam-Cus,Lambayeque,Cusco
Cal-Tum,Callao,Tumbes
Ica-Piu,Ica,Piura
Piu-Lam,Piura,Lambayeque
Piu-Are,Piura,Arequipa
Mad-Apu,Madre De Dios,Apurimac
Hua-Caj,Huanuco,Cajamarca
Tum-Piu,Tumbes,Piura
Cus-Mad,Cusco,Madre De Dios
Jun-Caj,Junin,Cajamarca
Pun-Caj,Puno,Cajamarca
Caj-Anc,Cajamarca,Ancash
La -Ama,La Libertad,Amazonas
Cus-Tum,Cusco,Tumbes
San-Lim,San Martin,Lima
Lam-Cal,Lambayeque,Callao
